oracle_id	oracle_version	ledger_entry	oracle_type	oracle	pass_fail_rule	classification	applicability
OR-0424	1.0.0	0424	positive predicate	Select disks with different known allocation state and verify HL addresses an ALV describing the selected disk.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0425	1.0.0	0425	positive predicate	Derive length from DPB DSM and compare bits with controlled files.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0426	1.0.0	0426	positive predicate	Verify the leading reserved block bits on a controlled empty disk.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0427	1.0.0	0427	positive predicate	Compare ALV around a controlled one-record file lifecycle.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0428	1.0.0	0428	permitted variation	Do not require DRI addresses or stale-pointer behavior.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0429	1.0.0	0429	permitted variation	Programs must not require arbitrary ALV writes to control BDOS.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0430	1.0.0	0430	permitted variation	Do not require current ALV accuracy after Function 28.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0431	1.0.0	0431	positive predicate	Decode all fields from at least two configured drives.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0432	1.0.0	0432	positive predicate	Accept shared or distinct pointers while validating each geometry.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0433	1.0.0	0433	positive predicate	Temporarily change a safe DPB field, re-query/read, then restore.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0434	1.0.0	0434	permitted variation	Do not compare against fixed addresses or require stale pointers.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0435	1.0.0	0435	optional-feature isolation	If selected, activate the full state-effect suite; otherwise return/out-of-range policy remains as declared.	The case is NOT APPLICABLE unless the optional feature is claimed; when claimed, its declared behavior must be verified without changing baseline semantics.	OPTIONAL	the Undocumented Function-37 compatibility profile. Generic BetterCP/M CP/M 2.2 compatibility does not require this feature
OR-0436	1.0.0	0436	positive predicate	Supply a controlled READER byte and verify A and one call.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0437	1.0.0	0437	permitted variation	Accept blocking physical input or documented absent-device EOF.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0438	1.0.0	0438	positive predicate	Retain console input, call Reader, then recover console input.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0439	1.0.0	0439	positive predicate	Capture graphic and control bytes at BIOS PUNCH.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0440	1.0.0	0440	positive predicate	Capture TAB/Ctrl-P and verify later Function 2 state.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0441	1.0.0	0441	permitted variation	Do not require A/HL beyond general normal-return aliases.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0442	1.0.0	0442	positive predicate	Compare Function 7 with direct 0003h reads.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0443	1.0.0	0443	positive predicate	Round-trip several full-byte patterns including A5h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0444	1.0.0	0444	positive predicate	Exercise all implemented logical-to-physical assignments.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0445	1.0.0	0445	positive predicate	Observe fixed logical dispatch under multiple IOBYTE values.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0446	1.0.0	0446	profile-gated positive	Profile declares inert or active mapping and tests every selected logical-to-physical route.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the IOBYTE logical-device profile
OR-0447	1.0.0	0447	permitted variation	Do not require device-open/reset side effects or result.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0448	1.0.0	0448	positive predicate	Preserve default/alternate DMA sentinels across all calls.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0449	1.0.0	0449	positive predicate	Vary each setup value independently.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0450	1.0.0	0450	positive predicate	Test configured and absent drives and deferred I/O.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0451	1.0.0	0451	positive predicate	Validate pointers and per-drive/shared objects without fixed addresses.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0452	1.0.0	0452	permitted variation	Prohibit fixed-address/private-workspace dependencies.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0453	1.0.0	0453	positive predicate	Trace boundary tracks with nonzero OFF.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0454	1.0.0	0454	positive predicate	Test with controlled nonidentity XLT.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0455	1.0.0	0455	permitted variation	Accept table or algorithm with identical results.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0456	1.0.0	0456	positive predicate	Trace application and directory buffers.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0457	1.0.0	0457	positive predicate	Test successful and fault-injected transfers.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0458	1.0.0	0458	positive predicate	Verify controlled lifecycle produces all.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0459	1.0.0	0459	anti-requirement	Run the same BDOS tests over distinct physical mappings.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0460	1.0.0	0460	permitted variation	Do not require nested setup preservation.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0461	1.0.0	0461	positive predicate	Locate the configured BIOS and verify opcodes, spacing, count, and order independently.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0462	1.0.0	0462	permitted variation	Run the same vector test at distinct configured memory sizes without fixed numeric addresses.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0463	1.0.0	0463	positive predicate	Derive the base only from page zero and successfully identify all entries.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0464	1.0.0	0464	positive predicate	Cold-start a configured image and validate public state at CCP entry.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0465	1.0.0	0465	positive predicate	Invoke programmed warm restart and verify CCP resumes with documented public state.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0466	1.0.0	0466	positive predicate	Damage only the two gateway opcodes, invoke saved WBOOT, and verify both valid gateways at the next transient entry.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0467	1.0.0	0467	anti-requirement	Accept distinct boot implementations that produce the same documented public state.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0468	1.0.0	0468	positive predicate	Queue one character, poll before/after, and recover that same character through CONIN.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0469	1.0.0	0469	positive predicate	Supply controlled input and separately observe A and absence of BIOS-imposed BDOS transformations.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0470	1.0.0	0470	positive predicate	Call each vector with graphic/control bytes and capture the C byte at the logical boundary.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0471	1.0.0	0471	positive predicate	Test normal input and configured absent-device EOF independently.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0472	1.0.0	0472	profile-gated positive	Profile defines ready/not-ready encodings and tests both states; generic callers cannot assume one exact nonzero.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the BIOS/list-device profile
OR-0473	1.0.0	0473	positive predicate	Compare direct and BDOS-mediated controlled character operations.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0474	1.0.0	0474	permitted variation	Applications rely only on documented inputs/outputs and make no nested-context assumption.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0475	1.0.0	0475	positive predicate	Switch drives and verify the semantic prompt changes accordingly.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0476	1.0.0	0476	permitted variation	Baseline uses semantic recognition, never byte-exact prompt decoration.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0477	1.0.0	0477	positive predicate	Queue edited input and verify dispatch occurs only after CR.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0478	1.0.0	0478	profile-gated positive	Profile tests the 127-byte boundary and rejection; baseline publishes its supported documented capacity.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Strict DRI CCP profile
OR-0479	1.0.0	0479	positive predicate	Test CR, one SPACE, and multiple SPACEs independently.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0480	1.0.0	0480	positive predicate	Submit SPACE and TAB separately; require TAB not to act as token-separating SPACE.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0481	1.0.0	0481	positive predicate	Compare lower/mixed-case dispatch and transient-entry bytes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0482	1.0.0	0482	positive predicate	Test each exact name without exercising full command semantics.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0483	1.0.0	0483	positive predicate	Compare exact, prefix, and suffix names.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0484	1.0.0	0484	positive predicate	Install harmless colliding COM files and verify markers do not execute.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0485	1.0.0	0485	positive predicate	Issue drive-only commands and query prompt/BDOS drive afterward.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0486	1.0.0	0486	positive predicate	Use colliding and missing transient names on another drive and inspect the following prompt.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0487	1.0.0	0487	positive predicate	Compare NAME and NAME.COM/NAME.TXT for a controlled transient.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0488	1.0.0	0488	positive predicate	Instrument both dispatch branches and test only externally visible prepared state.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0489	1.0.0	0489	positive predicate	Record drive before failure and the following prompt/query.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0490	1.0.0	0490	profile-gated positive	Profile compares exact error transcript; baseline verifies rejection and reprompt only.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI diagnostic-presentation profile
OR-0491	1.0.0	0491	anti-requirement	Test public input/output and transient-entry results rather than private layout.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0492	1.0.0	0492	positive predicate	Compare controlled NAME.COM execution with typed NAME and explicit-type cases.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0493	1.0.0	0493	positive predicate	Place commands on controlled drives and vary current drive selection.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0494	1.0.0	0494	positive predicate	Place distinct commands in user areas and verify selection behavior.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0495	1.0.0	0495	positive predicate	Record execution identity and following command prompt state.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0496	1.0.0	0496	positive predicate	Verify record markers at 0100h plus record offset.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0497	1.0.0	0497	positive predicate	Compare ordinary EOF with controlled failure returns.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0498	1.0.0	0498	permitted variation	Require complete record transfer only.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0499	1.0.0	0499	positive predicate	Test largest accepted and first rejected record counts.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0500	1.0.0	0500	permitted variation	Repeat boundary tests per configuration.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0501	1.0.0	0501	positive predicate	Verify execution markers are absent after failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0502	1.0.0	0502	positive predicate	Probe command tail and default DMA at entry.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0503	1.0.0	0503	positive predicate	Terminate by RET and verify restored environment.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0504	1.0.0	0504	positive predicate	Compare all three termination paths.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0505	1.0.0	0505	anti-requirement	Test observable behavior rather than private internals.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0506	1.0.0	0506	profile-gated positive	One profile test jointly covers 0012 and 0506 without counting duplicate obligations.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Strict DRI CCP/ecosystem
OR-0507	1.0.0	0507	permitted variation	A compatible implementation may vary residual bytes without failing compatibility.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0508	1.0.0	0508	profile-gated positive	Each CCP profile publishes and tests its accepted-line and resulting-tail limits.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Declared CCP profile
OR-0509	1.0.0	0509	positive predicate	Execute minimal transients using each mechanism and verify a usable CCP prompt, distinguishing RET from WBOOT by controlled page-zero reconstruction.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0510	1.0.0	0510	permitted variation	Install safe forwarding modifications to 0000h/0005h, terminate by RET, and verify that compatibility does not depend on CCP rewriting them.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0511	1.0.0	0511	permitted variation	Make and write a record without Close, terminate through each path, and verify that an implementation is not required to finalize the FCB as if Function 16 had been called.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0512	1.0.0	0512	profile-gated positive	Profile tests RET, Function 0, and JMP 0000h with changed drive/user state.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the CCP/lifecycle profile
OR-0513	1.0.0	0513	positive predicate	Interpret each BDOS result according to its function-specific contract rather than assuming a universal failure code.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0514	1.0.0	0514	permitted variation	Do not consume DMA data after failed file operations unless the specific function contract establishes it.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0515	1.0.0	0515	permitted variation	Do not require byte-for-byte FCB preservation after failed operations.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0516	1.0.0	0516	positive predicate	Test directory exhaustion and allocation exhaustion independently.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0517	1.0.0	0517	permitted variation	Require documented behavior only for valid FCBs and documented preconditions.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0518	1.0.0	0518	positive predicate	Change and query each state component independently.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0519	1.0.0	0519	positive predicate	Select drives and verify BDOS exposes the corresponding BIOS resources without requiring a particular address.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0520	1.0.0	0520	positive predicate	Interpose nonresetting BDOS calls before a transfer, then test each documented reset boundary.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0521	1.0.0	0521	positive predicate	Alter each component and query the others.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0522	1.0.0	0522	permitted variation	Applications re-query after state transitions; conformance does not compare DRI numeric addresses.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0523	1.0.0	0523	optional-feature isolation	Selecting 0435 activates 0523's inactive/current/multiple/read-only vector tests.	The case is NOT APPLICABLE unless the optional feature is claimed; when claimed, its declared behavior must be verified without changing baseline semantics.	OPTIONAL	the Undocumented Function-37 compatibility profile. Generic BetterCP/M CP/M 2.2 compatibility does not require this feature
OR-0524	1.0.0	0524	anti-requirement	Do not require a Get-BIOS pointer from selector 39.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0525	1.0.0	0525	positive predicate	Test Function 40 as random write; require no Function-41 extension for CP/M 2.2 conformance.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0526	1.0.0	0526	positive predicate	Relocate the BDOS target while preserving the 0005h gateway.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0527	1.0.0	0527	positive predicate	Exercise pointer, word, byte, and unused DE/E cases.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0528	1.0.0	0528	positive predicate	Check primary and alias registers for success, error, void, and out-of-range returns.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0529	1.0.0	0529	positive predicate	Test 41, 42, 7Fh, 80h, and FFh in strict mode.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0530	1.0.0	0530	permitted variation	Applications reload needed inputs and tests accept arbitrary undocumented residual register state.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0531	1.0.0	0531	positive predicate	Repeat returning calls on a guarded caller stack and compare SP.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0532	1.0.0	0532	permitted variation	Validate documented errors per function and require no common bad-parameter code.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0533	1.0.0	0533	permitted variation	Compatible applications do not make nested calls; no DRI private implementation is required.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0534	1.0.0	0534	positive predicate	Capture all public entry objects before the first diagnostic call and immediately invoke BDOS.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0535	1.0.0	0535	anti-requirement	Test entry state, not private instruction order.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0536	1.0.0	0536	permitted variation	Vary unused memory contents; applications initialize storage before relying on it.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0537	1.0.0	0537	positive predicate	Make a documented BDOS call as the first external operation.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0538	1.0.0	0538	positive predicate	Load a multirecord program and use DMA immediately without Function 26.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0539	1.0.0	0539	permitted variation	Require immediate RET to work while varying numeric stack state.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0540	1.0.0	0540	positive predicate	Embed a visible entry marker and verify it is absent on failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0541	1.0.0	0541	permitted variation	Mutate state and memory, return, and validate only the next command’s documented environment.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0542	1.0.0	0542	positive predicate	Search a controlled multi-extent file and observe each matching extent entry.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0543	1.0.0	0543	positive predicate	Enumerate a file exceeding one extent and compare returned 32-byte entries.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0544	1.0.0	0544	permitted variation	Compare uppercase and lowercase application-built FCB searches against one uppercase directory entry.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0545	1.0.0	0545	positive predicate	Use stable FCB storage for a multi-result sequence; separately diagnose mutation as nonportable.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0546	1.0.0	0546	positive predicate	Interpose Functions 12 and 25 between successful First and Next calls.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0547	1.0.0	0547	permitted variation	Require each new lifecycle to begin enumeration with Search First.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0548	1.0.0	0548	permitted variation	Accept directory-order results and reject tests that require alphabetical sorting.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0549	1.0.0	0549	permitted variation	Test returned no-match separately from a controlled invalid-drive fatal path.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0550	1.0.0	0550	positive predicate	Continue a controlled dr=‘?’ scan across user bytes and an E5h free directory slot.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0551	1.0.0	0551	positive predicate	Exercise Make-only, Make/Close, Make/write/Close, and reopen.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0552	1.0.0	0552	permitted variation	Compare the working FCB and Search record before Close.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0553	1.0.0	0553	positive predicate	Close a grown multi-extent file, reopen it, enumerate extents, read boundary markers, and compute size.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0554	1.0.0	0554	permitted variation	Compare access and documented fields rather than all literal FCB bytes.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0555	1.0.0	0555	positive predicate	Verify records 127-129 through sequential, random, search, reopen, and size interfaces.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0556	1.0.0	0556	positive predicate	Fill extent 0 with no slot for extent 1 and verify its 128 records after the next write fails.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0557	1.0.0	0557	positive predicate	Exhaust directory or allocation space, attempt extension, then reopen and compute size.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0558	1.0.0	0558	anti-requirement	Compare content, length, and valid allocation rather than exact block numbers.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0559	1.0.0	0559	positive predicate	Create the same 8.3 identity in two users and read distinct content.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
